system,dataset,target_recall,chunks,slots,runs,rows,recall_mean,recall_std,recall_at_10_mean,recall_at_10_std,recall_at_100_mean,recall_at_100_std,qps_mean,qps_std,avg_latency_ms_mean,avg_latency_ms_std,p50_ms_mean,p90_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_mean,stddev_ms_mean,gpu_mem_peak_mib_mean,gpu_mem_peak_mib_std,gpu_mem_peak_mib_max,max_ms_std,p50_ms_std,p90_ms_std,p95_ms_std,p99_ms_std,stddev_ms_std
chimera,lotte,0.95,9,1,3,3,0.950681,0.000016,0.962845,0.000035,0.950681,0.000016,380.536667,5.477017,2.628000,0.037987,2.594333,2.793000,2.857667,3.042333,10.521667,0.317667,,,,1.253532,0.033710,0.074081,0.082567,0.167309,0.182212
chimera,msmarco,0.90,1,1,3,3,0.917314,0.000019,0.963797,0.000015,0.917314,0.000019,554.967000,2.360589,1.801667,0.008021,1.778667,1.945000,2.004667,2.145333,12.242667,0.309333,,,,5.663734,0.013013,0.015100,0.014012,0.018037,0.106641
chimera,msmarco,0.90,10,1,3,3,0.917326,0.000029,0.963797,0.000015,0.917326,0.000029,381.778667,4.917399,2.619667,0.033858,2.590333,2.817667,2.905667,3.122333,9.599000,0.287333,,,,3.240486,0.021502,0.050521,0.061330,0.116453,0.109144
chimera,msmarco,0.90,11,1,3,3,0.917329,0.000021,0.963806,0.000008,0.917329,0.000021,367.289333,10.181105,2.723667,0.076429,2.688667,2.948000,3.035333,3.656667,9.565333,0.284667,,,,0.829562,0.047057,0.131275,0.155802,0.843340,0.091784
chimera,msmarco,0.90,12,1,3,3,0.917324,0.000016,0.963802,0.000008,0.917324,0.000016,351.719333,1.688739,2.843333,0.013650,2.815333,3.046667,3.145333,3.375000,11.021000,0.289333,,,,2.134291,0.005508,0.033232,0.075481,0.156490,0.109436
chimera,msmarco,0.90,2,1,3,3,0.917331,0.000039,0.963797,0.000000,0.917331,0.000039,562.721000,0.968559,1.777000,0.003000,1.755667,1.916000,1.974000,2.103000,9.664667,0.267667,,,,0.309013,0.001528,0.003606,0.006000,0.010149,0.032563
chimera,msmarco,0.90,3,1,3,3,0.917298,0.000029,0.963797,0.000000,0.917298,0.000029,545.290333,8.185376,1.834000,0.027495,1.811333,1.980333,2.041333,2.184667,9.435000,0.265667,,,,0.407172,0.018771,0.025968,0.031533,0.058688,0.090362
chimera,msmarco,0.90,4,1,3,3,0.917322,0.000016,0.963797,0.000015,0.917322,0.000016,520.688000,7.403288,1.920333,0.027209,1.898000,2.066667,2.124000,2.282000,9.550000,0.282667,,,,3.564355,0.016643,0.022368,0.026963,0.066461,0.141599
chimera,msmarco,0.90,5,1,3,3,0.917331,0.000009,0.963797,0.000015,0.917331,0.000009,494.632333,3.937899,2.021667,0.016258,2.004333,2.177000,2.235667,2.386667,5.794333,0.190000,,,,0.122712,0.008505,0.016643,0.019348,0.049095,0.045033
chimera,msmarco,0.90,6,1,3,3,0.917332,0.000038,0.963811,0.000000,0.917332,0.000038,465.789333,6.769209,2.147333,0.031021,2.129667,2.312000,2.374333,2.518333,8.181333,0.228667,,,,3.148888,0.029569,0.025060,0.025502,0.019140,0.058347
chimera,msmarco,0.90,7,1,3,3,0.917322,0.000017,0.963802,0.000008,0.917322,0.000017,441.964667,2.579533,2.262667,0.013317,2.244667,2.445667,2.512333,2.678667,8.638000,0.240333,,,,0.567620,0.010263,0.017954,0.022502,0.071445,0.058969
chimera,msmarco,0.90,8,1,3,3,0.917337,0.000008,0.963802,0.000008,0.917337,0.000008,419.636000,2.389349,2.382667,0.013317,2.362667,2.573667,2.638000,2.804333,8.257333,0.226333,,,,0.689316,0.008737,0.022008,0.020664,0.044072,0.023459
chimera,msmarco,0.90,9,1,3,3,0.917327,0.000011,0.963802,0.000008,0.917327,0.000011,396.952000,3.258857,2.519000,0.021284,2.489000,2.719333,2.797333,3.277000,8.679667,0.288000,,,,3.120581,0.014177,0.023587,0.031565,0.562988,0.052374
chimera,msmarco,0.95,1,1,3,3,0.951855,0.000015,0.965774,0.000000,0.951855,0.000015,398.837000,0.160137,2.507000,0.001000,2.483333,2.720667,2.795667,2.971667,7.190000,0.254667,,,,0.242576,0.006807,0.002082,0.002887,0.008505,0.040526
chimera,msmarco,0.95,10,1,3,3,0.951846,0.000004,0.965774,0.000000,0.951846,0.000004,314.481333,1.952565,3.179667,0.020033,3.154333,3.412000,3.500000,3.720333,12.287000,0.346333,,,,4.664400,0.010263,0.014000,0.013229,0.026312,0.130516
chimera,msmarco,0.95,11,1,3,3,0.951843,0.000026,0.965769,0.000009,0.951843,0.000026,299.831000,1.013318,3.335000,0.011269,3.315333,3.576333,3.668667,3.888333,8.888333,0.298667,,,,0.328769,0.008145,0.010786,0.015631,0.017559,0.013577
chimera,msmarco,0.95,12,1,3,3,0.951846,0.000032,0.965769,0.000009,0.951846,0.000032,288.051000,2.496823,3.471333,0.030022,3.453000,3.723667,3.810667,4.027333,12.001333,0.295333,18057.380000,0.000000,18057.380000,3.710641,0.023000,0.020744,0.024420,0.054885,0.065363
chimera,msmarco,0.95,2,1,3,3,0.951860,0.000011,0.965774,0.000015,0.951860,0.000011,414.237333,5.091113,2.414000,0.029513,2.389667,2.622667,2.695667,2.874667,10.056000,0.304667,,,,4.632896,0.018610,0.025027,0.026502,0.059011,0.163525
chimera,msmarco,0.95,3,1,3,3,0.951869,0.000017,0.965759,0.000000,0.951869,0.000017,406.370000,1.910132,2.460667,0.011930,2.431667,2.666000,2.744000,2.959000,7.360667,0.299000,,,,0.388065,0.003055,0.006245,0.007000,0.039686,0.086029
chimera,msmarco,0.95,4,1,3,3,0.951851,0.000010,0.965764,0.000009,0.951851,0.000010,395.871333,1.864965,2.525667,0.012220,2.500667,2.734000,2.815667,3.008667,10.023667,0.304667,,,,5.415564,0.006028,0.007810,0.010786,0.014434,0.127986
chimera,msmarco,0.95,5,1,3,3,0.951847,0.000014,0.965769,0.000009,0.951847,0.000014,385.732667,0.824654,2.592667,0.005508,2.569333,2.808000,2.884000,3.070667,7.913333,0.260000,,,,0.212923,0.008021,0.006245,0.004359,0.011060,0.041037
chimera,msmarco,0.95,6,1,3,3,0.951873,0.000007,0.965774,0.000015,0.951873,0.000007,369.821333,3.939238,2.704000,0.029052,2.675000,2.910667,2.987000,3.198333,7.792667,0.297000,,,,0.174236,0.018682,0.022189,0.025710,0.076068,0.088017
chimera,msmarco,0.95,7,1,3,3,0.951842,0.000027,0.965774,0.000000,0.951842,0.000027,354.004000,3.014326,2.824667,0.024542,2.801333,3.047000,3.132333,3.335000,11.094333,0.288333,,,,5.257612,0.017039,0.019157,0.023180,0.029816,0.131424
chimera,msmarco,0.95,8,1,3,3,0.951854,0.000002,0.965774,0.000000,0.951854,0.000002,339.996333,0.059802,2.940667,0.000577,2.913333,3.161000,3.248333,3.469667,8.271667,0.310667,,,,0.044095,0.002309,0.006557,0.006110,0.001155,0.023180
chimera,msmarco,0.95,9,1,3,3,0.951847,0.000027,0.965774,0.000000,0.951847,0.000027,327.209667,1.777579,3.056000,0.016643,3.030333,3.286000,3.372000,3.590000,8.255333,0.282333,,,,0.567903,0.010408,0.013000,0.014000,0.038000,0.054501
