system,dataset,label,slots,k,runs,rows,recall_mean,recall_std,recall_at_10_mean,recall_at_10_std,recall_at_100_mean,recall_at_100_std,qps_mean,qps_std,avg_latency_ms_mean,avg_latency_ms_std,p50_ms_mean,p90_ms_mean,p95_ms_mean,p99_ms_mean,max_ms_mean,stddev_ms_mean,gpu_mem_peak_mib_mean,gpu_mem_peak_mib_std,gpu_mem_peak_mib_max,max_ms_std,p50_ms_std,p90_ms_std,p95_ms_std,p99_ms_std,stddev_ms_std
chimera,msmarco,b4,1,100,3,3,0.917338,0.000007,0.963802,0.000008,0.917338,0.000007,498.509000,4.587055,2.006000,0.018330,1.990333,2.157000,2.210667,2.331000,8.665000,0.232000,,,,3.847351,0.012097,0.013115,0.017156,0.030512,0.142369
chimera,msmarco,c1,1,100,3,3,0.934738,0.000023,0.964422,0.000016,0.934738,0.000023,485.114000,4.472476,2.061333,0.019035,2.047000,2.210333,2.266667,2.388000,6.841000,0.200667,,,,0.617055,0.012124,0.013013,0.015011,0.033045,0.040673
chimera,msmarco,c2,1,100,3,3,0.931945,0.000010,0.965191,0.000022,0.931945,0.000010,402.857333,1.611847,2.482333,0.010116,2.461000,2.689000,2.765333,2.934333,7.788000,0.218667,,,,0.698575,0.008718,0.007550,0.009238,0.020033,0.014012
chimera,msmarco,c3,1,100,3,3,0.943872,0.000027,0.965558,0.000025,0.943872,0.000027,397.293333,2.979871,2.516667,0.018610,2.495000,2.723667,2.800000,2.965667,10.492000,0.269000,,,,4.219991,0.013115,0.015044,0.016523,0.026083,0.106588
chimera,msmarco,d1,1,100,3,3,0.954024,0.000004,0.965888,0.000015,0.954024,0.000004,327.876000,0.897551,3.050000,0.008185,3.024333,3.317333,3.418667,3.666667,10.360000,0.297000,,,,2.733307,0.011372,0.010504,0.009866,0.016258,0.030315
chimera,msmarco,e1,1,100,3,3,0.951849,0.000019,0.965769,0.000009,0.951849,0.000019,387.746333,2.304243,2.578667,0.015373,2.553667,2.790000,2.870333,3.062667,8.265000,0.265333,,,,0.694261,0.009713,0.012124,0.014224,0.031723,0.050143
chimera,msmarco,e2,1,100,3,3,0.948297,0.000015,0.965659,0.000014,0.948297,0.000015,334.951667,1.326779,2.985333,0.012055,2.958333,3.243667,3.337000,3.566000,10.819667,0.321333,,,,4.836962,0.006658,0.008622,0.007000,0.012288,0.110699
chimera,msmarco,f1,1,100,3,3,0.959472,0.000002,0.966065,0.000008,0.959472,0.000002,313.164000,0.535467,3.193000,0.005568,3.168000,3.461000,3.551667,3.798000,9.229667,0.300667,,,,0.208289,0.002646,0.004000,0.004509,0.034511,0.062684
chimera,msmarco,f2,1,100,3,3,0.960244,0.000017,0.966179,0.000022,0.960244,0.000017,275.320667,2.109975,3.632000,0.028000,3.602667,3.951667,4.062000,4.343000,9.717000,0.335333,,,,1.154773,0.017010,0.020429,0.026058,0.065962,0.087386
chimera,msmarco,g1,1,100,3,3,0.963776,0.000008,0.966284,0.000008,0.963776,0.000008,260.765333,3.428531,3.835000,0.050408,3.794000,4.158000,4.275000,4.666333,12.615333,0.435333,,,,4.776307,0.027622,0.045902,0.054672,0.250847,0.181643
