system,dataset,topk,recall,qps,label,source
Chimera,hotpot,100,0.92008,241.82,g2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.92756,208.345,h1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.93563,190.793,i1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.94155,165.44,j1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/hotpot/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221528Z_job56279474.csv
Chimera,hotpot,100,0.95008,102.536,k1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_hotpot_highrecall/k100/hotpot/gpu_search_v6_lite_vram16_hotpot_highrecall/benchmark_results_20260426T224514Z_job56279474.csv
Chimera,hotpot,100,0.95033,96.042,l1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_hotpot_highrecall/k100/hotpot/gpu_search_v6_lite_vram16_hotpot_highrecall/benchmark_results_20260426T224514Z_job56279474.csv
Chimera+,hotpot,100,0.77672,515.45,b4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/hotpot/gpu_search_v7/benchmark_results_20260422T220518Z_job55871927.csv
Chimera+,hotpot,100,0.82109,482.912,c1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/hotpot/gpu_search_v7/benchmark_results_20260422T220518Z_job55871927.csv
Chimera+,hotpot,100,0.84049,440.429,c3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/hotpot/gpu_search_v7/benchmark_results_20260422T220518Z_job55871927.csv
Chimera+,hotpot,100,0.86956,436.011,e1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/hotpot/gpu_search_v7/benchmark_results_20260422T220518Z_job55871927.csv
Chimera+,hotpot,100,0.87315,426.008,d1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/hotpot/gpu_search_v7/benchmark_results_20260422T220518Z_job55871927.csv
Chimera+,hotpot,100,0.89601,375.83,f1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/hotpot/gpu_search_v7/benchmark_results_20260422T220518Z_job55871927.csv
Chimera+,hotpot,100,0.91388,334.256,g1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/hotpot/gpu_search_v7/benchmark_results_20260422T220518Z_job55871927.csv
Chimera+,hotpot,100,0.91997,323.066,g2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/hotpot/gpu_search_v7/benchmark_results_20260422T220518Z_job55871927.csv
Chimera+,hotpot,100,0.92752,264.362,h1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/hotpot/gpu_search_v7/benchmark_results_20260422T220518Z_job55871927.csv
Chimera+,hotpot,100,0.93543,252.554,i1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/hotpot/gpu_search_v7/benchmark_results_20260422T220518Z_job55871927.csv
Chimera+,hotpot,100,0.94155,179.048,j1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/hotpot/gpu_search_v7/benchmark_results_20260422T220518Z_job55871927.csv
CPU,msmarco,100,0.814708,309.277333,a2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,msmarco,100,0.852059,306.794,a3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,msmarco,100,0.891504,223.268,b2,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,msmarco,100,0.894683,201.486,b3,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,msmarco,100,0.921818,181.574667,b4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
CPU,msmarco,100,0.941812,167.693,c1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/cpu_search_v3/summary_t32.csv
