system,dataset,topk,recall,qps,label,source
Chimera,lotte,100,0.961102,269.186,h1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.962893,230.867,i1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
Chimera,lotte,100,0.964142,201.426,j1,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/gpu_main_topk_vram16_lite_c4/k100/lotte/gpu_search_v6_lite_vram16_c4/benchmark_results_20260426T221127Z_job56279474.csv
PLAID,lotte,100,0.886673,56.44958,c4,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
PLAID,lotte,100,0.91,49.10586,c4m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
PLAID,lotte,100,0.920212,44.606914,c5,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
PLAID,lotte,100,0.932054,37.044001,c5m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
PLAID,lotte,100,0.936022,31.722073,c7,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
PLAID,lotte,100,0.946387,26.817794,c7m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
PLAID,lotte,100,0.95072,26.814221,c8,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
PLAID,lotte,100,0.953582,22.754935,c8m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
PLAID,lotte,100,0.954265,19.865233,c10,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
PLAID,lotte,100,0.956759,18.432714,c10m,/scratch3/workspace/juelinliu_umass_edu-gpu-mvr/gpu-mvr/profiling/experiments/plaid_main_topk_local/k100/lotte/plaid/benchmark_results.csv
